Metric,Metric,yearcat,EV,LB,UB
Ambitious P-Curve ,1,2003-2004,0.5,0.3907,0.5897
Original P-Curve,2,2003-2004,0.9403,0.8859,0.9706
N-Pact,3,2003-2004,0.53,0.495037,0.5584995
A Prior Power,4,2003-2004,0.345,0.2976,0.3982
Observed Power,5,2003-2004,0.84,0.8,0.88
Z-Curve,6,2003-2004,0.788,0.7453844,0.8132752
R-Index,7,2003-2004,0.62,0.54,0.68
TIVA,8,2003-2004,1,0.99,1
Ambitious P-Curve ,1,2013-2014,0.4964,0.4148,0.5775
Original P-Curve,2,2013-2014,0.9538,0.9164,0.9753
N-Pact,3,2013-2014,0.61,0.5713122,0.6353678
A Prior Power,4,2013-2014,0.4687,0.4303,0.5049
Observed Power,5,2013-2014,0.81,0.79,0.83
Z-Curve,6,2013-2014,0.7389299,0.7190575,0.7642516
R-Index,7,2013-2014,0.52,0.47,0.56
TIVA,8,2013-2014,1,0.99,1
